mode,rows,millis,rows_per_sec,mem_delta_mb,gc_events,gc_pause_sum_ms,gc_pause_max_ms,gc_pause_p95_ms,peak_before_mb,peak_after_mb,avg_after_mb,peak_old_after_regions
JsonNode,1000000,1624,615763.55,4.69,80,102.152,32.346,2.225,57.00,4.00,4.00,0.00
POJO,1000000,1297,771010.02,26.82,49,58.897,9.516,4.531,58.00,4.00,4.00,0.00
