ts,cpu,mem_used_mb,mem_limit_mb
1772410504,101.06%,156.30,1024.00
1772410507,100.69%,156.20,1024.00
1772410509,100.16%,156.50,1024.00
1772410512,99.82%,156.50,1024.00
1772410515,100.92%,156.30,1024.00
1772410517,99.77%,156.30,1024.00
1772410520,100.47%,156.40,1024.00
1772410522,99.82%,156.30,1024.00
1772410525,100.00%,156.40,1024.00
1772410527,100.92%,156.60,1024.00
1772410530,100.57%,156.40,1024.00
1772410533,100.67%,156.40,1024.00
1772410535,100.11%,156.40,1024.00
1772410538,100.42%,156.40,1024.00
1772410540,100.43%,156.40,1024.00
1772410543,100.23%,156.50,1024.00
1772410545,100.43%,156.40,1024.00
1772410548,100.47%,156.40,1024.00
1772410551,100.46%,156.50,1024.00
1772410553,100.45%,156.50,1024.00
1772410556,99.76%,156.50,1024.00
1772410558,100.23%,156.50,1024.00
1772410561,100.26%,156.50,1024.00
1772410564,100.42%,156.50,1024.00
1772410566,100.99%,156.50,1024.00
1772410569,99.76%,156.60,1024.00
1772410571,99.87%,156.60,1024.00
1772410574,100.52%,156.60,1024.00
1772410576,100.27%,156.90,1024.00
1772410579,100.55%,156.60,1024.00
1772410582,100.53%,156.60,1024.00
1772410584,100.15%,156.70,1024.00
1772410587,100.93%,156.70,1024.00
1772410589,100.05%,156.70,1024.00
1772410592,99.25%,156.70,1024.00
1772410594,100.72%,156.70,1024.00
1772410597,100.57%,156.70,1024.00
1772410600,100.51%,156.70,1024.00
1772410602,100.67%,156.70,1024.00
1772410605,100.42%,156.80,1024.00
1772410607,100.59%,156.80,1024.00
1772410610,100.40%,156.80,1024.00
1772410612,100.81%,156.80,1024.00
1772410615,99.62%,156.80,1024.00
1772410618,100.47%,156.80,1024.00
1772410620,100.39%,156.90,1024.00
1772410623,100.28%,156.90,1024.00
1772410625,101.13%,156.90,1024.00
1772410628,100.52%,156.90,1024.00
1772410631,100.39%,156.90,1024.00
1772410633,100.45%,156.90,1024.00
1772410636,100.79%,156.90,1024.00
1772410638,100.07%,156.90,1024.00
1772410641,100.11%,156.90,1024.00
1772410643,101.25%,157.20,1024.00
1772410646,100.21%,157.00,1024.00
1772410649,100.37%,157.00,1024.00
1772410651,100.57%,157.30,1024.00
1772410654,99.91%,157.00,1024.00
1772410656,100.72%,157.00,1024.00
1772410659,99.83%,157.30,1024.00
1772410661,100.56%,157.00,1024.00
1772410664,100.68%,157.10,1024.00
1772410667,100.65%,157.10,1024.00
1772410669,100.20%,157.10,1024.00
1772410672,100.37%,157.10,1024.00
1772410674,100.20%,157.10,1024.00
1772410677,100.47%,157.20,1024.00
