ts,cpu,mem_used_mb,mem_limit_mb
1772410040,102.21%,61.38,1024.00
1772410043,99.32%,107.80,1024.00
1772410045,99.97%,107.90,1024.00
1772410048,100.50%,108.20,1024.00
1772410051,100.03%,108.10,1024.00
1772410053,100.34%,108.10,1024.00
1772410056,100.19%,108.10,1024.00
1772410058,100.70%,108.20,1024.00
1772410061,100.51%,108.20,1024.00
1772410063,100.52%,108.20,1024.00
1772410066,100.38%,108.30,1024.00
1772410069,100.85%,108.30,1024.00
1772410071,99.47%,108.90,1024.00
