ts,cpu,mem_used_mb,mem_limit_mb
1772410004,104.07%,63.03,1024.00
1772410006,100.41%,105.30,1024.00
1772410009,100.96%,105.30,1024.00
1772410012,100.29%,105.40,1024.00
1772410014,100.39%,105.70,1024.00
1772410017,99.73%,105.50,1024.00
1772410019,100.88%,105.50,1024.00
1772410022,100.40%,105.60,1024.00
1772410024,100.10%,105.90,1024.00
1772410027,100.66%,105.70,1024.00
1772410030,100.23%,105.70,1024.00
1772410032,100.20%,105.80,1024.00
1772410035,98.20%,106.30,1024.00
1772410037,0.00%,0.00,0.00
