mode,rows,millis,rows_per_sec,mem_delta_mb,gc_events,gc_pause_sum_ms,gc_pause_max_ms,gc_pause_p95_ms,peak_before_mb,peak_after_mb,avg_after_mb,peak_old_after_regions
JsonNode,10000000,30758,325118.67,38.49,756,509.551,16.098,0.675,55.00,2.00,2.00,0.00
POJO,10000000,29950,333889.82,6.74,459,250.107,18.872,0.441,56.00,2.00,2.00,0.00
