mode,n,rows_per_sec_mean,rows_per_sec_std,mem_delta_mb_mean,mem_delta_mb_std
JsonNode,1,598086.12,0.00,3.7700,0.0000
POJO,1,647249.19,0.00,1.0700,0.0000
