mode,rows,millis,rows_per_sec,mem_before_mb,mem_after_mb,mem_delta_mb,checksum
JsonNode,1000000,1672,598086.12,2.74,6.51,3.77,5043584072
POJO,1000000,1545,647249.19,2.64,3.71,1.07,5043584072
