mode,rows,millis,rows_per_sec,mem_delta_mb,gc_events,gc_pause_sum_ms,gc_pause_max_ms,gc_pause_p95_ms,peak_before_mb,peak_after_mb,avg_after_mb,peak_old_after_regions
JsonNode,10000000,31810,314366.55,-11.30,757,552.646,22.554,0.839,57.00,4.00,4.00,0.00
POJO,10000000,30954,323060.02,8.70,460,222.355,24.062,0.522,58.00,4.00,4.00,0.00
