mode,rows,millis,rows_per_sec,mem_delta_mb,gc_events,gc_pause_sum_ms,gc_pause_max_ms,gc_pause_p95_ms,peak_before_mb,peak_after_mb,avg_after_mb,peak_old_after_regions
JsonNode,10000000,32216,310404.77,40.56,342,1925.690,843.350,1.400,122.00,2.00,2.00,6.00
POJO,10000000,31391,318562.65,80.05,209,181.766,7.856,1.594,122.00,2.00,2.00,6.00
