mode,rows,millis,rows_per_sec,mem_before_mb,mem_after_mb,mem_delta_mb,checksum
JsonNode,1000000,3021,331016.22,2.70,83.25,80.55,5043584072
POJO,1000000,3389,295072.29,2.71,51.74,49.04,5043584072
