mode,millis_mean,millis_std,rows_per_sec_mean,rows_per_sec_std,mem_delta_mb_mean,mem_delta_mb_std,gc_events_mean,gc_events_std,pause_sum_ms_mean,pause_sum_ms_std,pause_max_ms_mean,pause_max_ms_std,pause_p95_ms_mean,pause_p95_ms_std,pause_p99_ms_mean,pause_p99_ms_std
JsonNode,30785.8,146.7752022652328,324832.466,1548.7353494461138,-63.942,0.03310589071449424,341.0,0.0,363.2164,2.648474776168348,4.6126000000000005,0.9406231126226912,2.062,0.1162600533287337,2.831800000000005,0.20811542950968667
POJO,31206.6,135.5604662134208,320451.104,1398.0722160546775,-24.296,0.4071658138891328,208.0,0.0,206.95600000000005,2.720386222579425,4.763,0.9065175122412141,2.852949999999999,0.09899740400636771,3.730774000000001,0.22194239807661856
